Wins,diff_text_success,goals_aginest,goals_for_GF,losses,name,ot_losses,url,win_percent,year
43,,210.0,228.0,29.0,San Jose Sharks,10.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.524,2011.0
49,,165.0,210.0,22.0,St. Louis Blues,11.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.598,2011.0
38,,281.0,235.0,36.0,Tampa Bay Lightning,8.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.463,2011.0
35,,264.0,231.0,37.0,Toronto Maple Leafs,10.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.427,2011.0
51,,198.0,249.0,22.0,Vancouver Canucks,9.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.622,2011.0
42,,230.0,222.0,32.0,Washington Capitals,8.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.512,2011.0
37,,246.0,225.0,35.0,Winnipeg Jets,10.0,https://www.scrapethissite.com/pages/forms/?page_num=24,0.451,2011.0
42,,255.0,256.0,32.0,Vancouver Canucks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.512,2005.0
29,,306.0,237.0,41.0,Washington Capitals,12.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.354,2005.0
48,,208.0,258.0,20.0,Anaheim Ducks,14.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.585,2006.0
43,,233.0,244.0,30.0,Colorado Avalanche,9.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.524,2009.0
37,,254.0,237.0,31.0,Dallas Stars,14.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.451,2009.0
44,,216.0,229.0,24.0,Detroit Red Wings,14.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.537,2009.0
54,,185.0,262.0,19.0,Vancouver Canucks,9.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.659,2010.0
48,,197.0,224.0,23.0,Washington Capitals,11.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.585,2010.0
34,,231.0,204.0,36.0,Anaheim Ducks,12.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.415,2011.0
47,,246.0,277.0,24.0,Pittsburgh Penguins,11.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.573,2006.0
51,,199.0,258.0,26.0,San Jose Sharks,5.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.622,2006.0
